Performance_Record,ADNI,AP,ARH,MDNI,MaxSur,MinSur,AvgSur,Day,Julian_date,date,Maturity_Group,Genotype_ID,State,Year,Location,Yield
0,169.88,0,50.5,814,57.299999999999997,32.299999999999997,43.229999999999997,1,91,2021-04-01 00:00:00.0000000,3,243,"KS",2009,98,39
0,12.54,0.01,84.75,93,51.299999999999997,36.600000000000001,43.850000000000001,2,92,2021-04-02 00:00:00.0000000,3,243,"KS",2009,98,39
0,321.38,0,65.079999999999998,986,56.700000000000003,28.899999999999999,42.07,3,93,2021-04-03 00:00:00.0000000,3,243,"KS",2009,98,39
0,153.67,0,63.5,777,67.700000000000003,43.899999999999999,52.450000000000003,4,94,2021-04-04 00:00:00.0000000,3,243,"KS",2009,98,39
0,6.75,0.01,71,118,63.799999999999997,38.799999999999997,47.25,5,95,2021-04-05 00:00:00.0000000,3,243,"KS",2009,98,39
0,219.33,0,58.829999999999998,786,42.600000000000001,29.699999999999999,35.600000000000001,6,96,2021-04-06 00:00:00.0000000,3,243,"KS",2009,98,39
0,204.54,0,83.540000000000006,885,64,47,52.329999999999998,211,301,2021-10-28 00:00:00.0000000,3,243,"KS",2009,98,39
0,0,0.04,90.25,0,64.599999999999994,56,59.729999999999997,212,302,2021-10-29 00:00:00.0000000,3,243,"KS",2009,98,39
0,62.33,0,78,690,62.399999999999999,43.299999999999997,52.725000000000001,213,303,2021-10-30 00:00:00.0000000,3,243,"KS",2009,98,39
0,259.21,0,67.129999999999995,930,56.299999999999997,40.200000000000003,45.719999999999999,214,304,2021-10-31 00:00:00.0000000,3,243,"KS",2009,98,39
0,0,0.04,94.829999999999998,0,61.399999999999999,46.399999999999999,57.789999999999999,205,295,2021-10-22 00:00:00.0000000,3,243,"KS",2009,98,39
0,0.08,0,82.420000000000002,1,45.399999999999999,40.200000000000003,42.990000000000002,206,296,2021-10-23 00:00:00.0000000,3,243,"KS",2009,98,39
0,241.17,0,75.25,929,62.700000000000003,37.5,46,207,297,2021-10-24 00:00:00.0000000,3,243,"KS",2009,98,39
0,45.58,0.01,85,410,59.299999999999997,51.200000000000003,54.549999999999997,208,298,2021-10-25 00:00:00.0000000,3,243,"KS",2009,98,39
0,206.13,0.01,81,911,55,40.299999999999997,48.289999999999999,209,299,2021-10-26 00:00:00.0000000,3,243,"KS",2009,98,39
