,Performance Record,Maturity Group,Genotype ID,State,Year,Location,Yield
0,0,3.0,243,"""KS""",2009,98.0,39.0
1,1,6.0,114,"""AL""",2013,16.0,54.2
2,2,4.0,2878,"""TN""",2015,72.0,73.6
3,3,3.0,4535,"""MO""",2014,94.0,70.9
4,4,3.0,4501,"""NE""",2008,45.0,82.1
5,5,6.0,1018,"""SC""",2005,36.0,42.5
6,6,8.0,1544,"""AL""",2013,51.0,64.0
7,7,1.0,3846,"""NE""",2010,102.0,96.1
8,8,8.0,1597,"""SC""",2011,20.0,50.6
9,9,-1.0,4286,"""QUE""",2008,133.0,85.0
10,10,6.0,1056,"""AL""",2014,16.0,55.8
11,11,2.0,5125,"""OH""",2010,63.0,54.4
12,12,0.0,2599,"""NE""",2004,15.0,45.5
13,13,4.0,1367,"""VA""",2003,151.0,52.0
14,14,4.0,4113,"""IN""",2014,27.0,53.3
15,15,6.0,1688,"""AL""",2015,51.0,66.1
16,16,1.0,1867,"""NE""",2008,40.0,51.5
17,17,7.0,5193,"""NC""",2010,71.0,27.9
18,18,3.0,5709,"""IL""",2013,148.0,56.9
19,19,3.0,4088,"""KS""",2015,78.0,46.7
20,20,5.0,2706,"""KS""",2011,81.0,25.2
21,21,1.0,4435,"""MI""",2006,64.0,48.2
22,22,1.0,2944,"""MI""",2006,64.0,55.1
23,23,6.0,626,"""MS""",2009,139.0,29.9
24,24,4.0,2702,"""KS""",2010,6.0,45.0
25,25,3.0,3280,"""IN""",2011,154.0,48.4
26,26,-1.0,1780,"""AR""",2003,53.0,44.4
27,27,3.0,4128,"""OH""",2008,126.0,66.8
28,28,0.0,1762,"""ONT""",2006,134.0,49.1
29,29,5.0,3038,"""AR""",2010,103.0,59.3
30,30,8.0,2431,"""SC""",2014,36.0,46.6
31,31,-1.0,3548,"""MN""",2013,121.0,39.7
32,32,3.0,193,"""NE""",2010,77.0,77.5
33,33,3.0,4715,"""NE""",2013,159.0,74.3
34,34,8.0,4382,"""NC""",2006,71.0,42.1
35,35,2.0,5765,"""IN""",2013,154.0,64.3
36,36,4.0,862,"""TN""",2004,72.0,62.7
37,37,4.0,5530,"""AR""",2003,116.0,11.1
38,38,1.0,561,"""SD""",2009,10.0,41.7
39,39,4.0,2627,"""MD""",2005,113.0,40.4
40,40,2.0,3798,"""IA""",2008,2.0,33.2
41,41,5.0,1711,"""KS""",2008,104.0,44.3
42,42,6.0,772,"""AR""",2005,140.0,62.2
43,43,1.0,4983,"""ONT""",2011,114.0,64.7
44,44,0.0,3685,"""SD""",2011,23.0,21.8
45,45,0.0,3533,"""MN""",2008,89.0,41.5
46,46,1.0,5308,"""NE""",2015,40.0,87.2
47,47,4.0,3080,"""MD""",2006,113.0,48.7
48,48,4.0,2345,"""IL""",2006,147.0,57.7
49,49,2.0,3798,"""ONT""",2015,33.0,47.5
50,50,3.0,5301,"""IA""",2011,41.0,55.1
51,51,6.0,4398,"""MS""",2007,139.0,43.9
52,52,0.0,760,"""ONT""",2010,156.0,36.8
53,53,1.0,2619,"""ONT""",2012,114.0,57.5
54,54,5.0,2142,"""VA""",2006,151.0,50.5
55,55,6.0,1797,"""NC""",2008,167.0,51.2
56,56,2.0,5703,"""IN""",2007,154.0,55.0
57,57,2.0,4010,"""ONT""",2009,61.0,86.0
58,58,1.0,5641,"""MI""",2013,64.0,61.5
59,59,4.0,5816,"""AR""",2008,116.0,47.4
60,60,4.0,2878,"""IL""",2014,29.0,49.4
61,61,3.0,5139,"""IN""",2007,154.0,48.2
62,62,5.0,1893,"""MS""",2009,139.0,53.7
63,63,1.0,4207,"""IN""",2015,150.0,32.8
64,64,1.0,4174,"""NE""",2010,15.0,45.9
65,65,5.0,1817,"""IL""",2009,147.0,57.4
66,66,4.0,3005,"""TN""",2008,72.0,47.0
67,67,1.0,2950,"""SD""",2003,153.0,19.8
68,68,0.0,3186,"""SD""",2007,153.0,40.1
69,69,4.0,2480,"""TX""",2005,112.0,12.0
70,70,2.0,3657,"""NE""",2005,40.0,77.7
71,71,3.0,5533,"""OH""",2004,124.0,42.2
72,72,3.0,4091,"""KS""",2010,78.0,45.3
73,73,3.0,954,"""KS""",2005,6.0,45.3
74,74,1.0,3826,"""NE""",2008,102.0,81.4
75,75,5.0,1783,"""KY""",2009,111.0,73.1
76,76,2.0,132,"""NE""",2004,56.0,65.5
77,77,2.0,3849,"""IL""",2010,148.0,46.6
78,78,4.0,362,"""VA""",2011,151.0,70.6
79,79,5.0,2889,"""KS""",2011,104.0,19.3
80,80,1.0,295,"""MN""",2008,74.0,43.7
81,81,0.0,714,"""ND""",2005,31.0,44.0
82,82,8.0,748,"""GA""",2009,146.0,70.0
83,83,-1.0,2008,"""ND""",2015,93.0,71.3
84,84,1.0,1998,"""SD""",2011,149.0,53.4
85,85,4.0,1044,"""MS""",2010,139.0,75.7
86,86,1.0,5620,"""MN""",2005,152.0,67.5
87,87,-1.0,2855,"""QUE""",2015,133.0,69.2
88,88,0.0,3536,"""ONT""",2007,134.0,48.3
89,89,4.0,4470,"""VA""",2012,151.0,62.3
90,90,2.0,3876,"""IN""",2011,154.0,42.8
91,91,7.0,1118,"""GA""",2008,105.0,62.4
92,92,-1.0,673,"""ONT""",2004,13.0,27.3
93,93,4.0,86,"""VA""",2011,151.0,78.4
94,94,7.0,1184,"""GA""",2011,146.0,81.1
95,95,4.0,87,"""KY""",2005,111.0,12.1
96,96,4.0,2743,"""IN""",2015,154.0,64.7
97,97,2.0,5445,"""IL""",2009,148.0,47.9
98,98,4.0,4255,"""MO""",2008,110.0,45.3
99,99,5.0,1807,"""MD""",2008,113.0,39.4
100,100,5.0,4748,"""VA""",2004,151.0,58.8
101,101,5.0,2914,"""MS""",2014,135.0,51.4
102,102,4.0,2714,"""MO""",2014,109.0,51.2
103,103,4.0,2918,"""VA""",2004,151.0,60.7
104,104,5.0,887,"""VA""",2007,141.0,38.0
105,105,6.0,1152,"""AL""",2008,143.0,42.4
106,106,7.0,4840,"""NC""",2006,71.0,41.6
107,107,0.0,2619,"""ONT""",2010,99.0,63.9
108,108,1.0,4614,"""NE""",2012,40.0,87.0
109,109,5.0,45,"""TN""",2015,67.0,54.1
110,110,2.0,5424,"""IL""",2008,148.0,53.4
111,111,2.0,485,"""NE""",2014,62.0,80.5
112,112,3.0,4111,"""NE""",2015,34.0,73.2
113,113,3.0,5350,"""NE""",2015,159.0,60.9
114,114,3.0,3766,"""IN""",2014,154.0,61.0
115,115,2.0,495,"""MN""",2012,74.0,25.9
116,116,3.0,93,"""NE""",2003,56.0,49.0
117,117,5.0,2693,"""AR""",2012,140.0,71.3
118,118,4.0,2222,"""VA""",2015,97.0,31.5
119,119,5.0,1446,"""KS""",2013,81.0,55.2
120,120,7.0,1707,"""SC""",2010,163.0,31.7
121,121,1.0,4517,"""MI""",2012,64.0,29.8
