,Performance Record,ADNI,AP,ARH,MDNI,MaxSur,MinSur,AvgSur,Day,Julian_date,date
0,0,169.88,0,50.5,814,57.3,32.3,43.23,1,91,04-01
1,0,12.54,0.01,84.75,93,51.3,36.6,43.85,2,92,04-02
2,0,321.38,0,65.08,986,56.7,28.9,42.07,3,93,04-03
3,0,153.67,0,63.5,777,67.7,43.9,52.45,4,94,04-04
4,0,6.75,0.01,71,118,63.8,38.8,47.25,5,95,04-05
5,0,219.33,0,58.83,786,42.6,29.7,35.6,6,96,04-06
6,0,381.58,0,49.75,1022,55.5,23,36.86,7,97,04-07
7,0,367.33,0,50.75,993,64.4,38.7,49.46,8,98,04-08
8,0,43.63,0,61.75,247,57.7,46,50.19,9,99,04-09
9,0,120.5,0.03,85.38,857,56.8,40.6,45.66,10,100,04-10
10,0,343.92,0,74.96,985,59.6,37.9,47.77,11,101,04-11
11,0,0.25,0.01,76.63,2,53.8,42.8,46.5,12,102,04-12
12,0,0.13,0.03,94.58,2,45.9,36.6,41,13,103,04-13
13,0,362.71,0,76.88,990,59.5,36.3,45.61,14,104,04-14
14,0,305.5,0,71.58,960,64.2,43.3,51.38,15,105,04-15
15,0,86.38,0,69.58,691,62,50.9,55.95,16,106,04-16
16,0,261.92,0,77,824,70.6,48.8,58.57,17,107,04-17
17,0,89.83,0.01,80.92,571,68.6,56.2,61.25,18,108,04-18
18,0,70.79,0.01,83.25,557,65.5,50.7,56.11,19,109,04-19
19,0,324.67,0,58.83,960,64.1,45.2,53.62,20,110,04-20
20,0,377.54,0,44.88,994,67.5,42.6,52.7,21,111,04-21
21,0,237.92,0,66.83,871,77.5,46.3,60.37,22,112,04-22
22,0,361.29,0,61.46,944,80.9,59,69.41,23,113,04-23
23,0,231.5,0,66.67,707,78.8,65.6,70.47,24,114,04-24
24,0,9.92,0,77.04,238,74.9,66.1,69.33,25,115,04-25
25,0,1.42,0.04,91.75,22,72.6,63.4,67.18,26,116,04-26
26,0,0,0.04,93.08,0,69.4,44.2,58.88,27,117,04-27
27,0,357.71,0,85.5,941,64.9,38.3,49.52,28,118,04-28
28,0,22.75,0,91.04,227,70.6,53.6,60.7,29,119,04-29
29,0,77.96,0.02,94.58,620,72.8,57.4,63.14,30,120,04-30
30,0,37.08,0.02,90.54,274,69,48.7,56.75,31,121,05-01
31,0,234.13,0,73.33,850,62.7,47.3,55.58,32,122,05-02
32,0,50.25,0.01,78.88,292,62.6,47.5,54.13,33,123,05-03
33,0,270,0,73.67,947,68.2,42.4,57.3,34,124,05-04
34,0,213.21,0,81.46,798,69.8,49.5,58.97,35,125,05-05
35,0,126.21,0,88.38,631,74.5,50.5,59.94,36,126,05-06
36,0,258.92,0,77.13,870,79.5,57.2,66.45,37,127,05-07
37,0,91.08,0.09,87.21,604,76.7,61.6,67.51,38,128,05-08
38,0,321.13,0,55.46,953,72.2,50.1,60.63,39,129,05-09
39,0,14.67,0,82.33,264,65,47.9,54.03,40,130,05-10
40,0,265.38,0,82.33,945,67.7,39.8,53.03,41,131,05-11
41,0,7.58,0.02,88.17,174,64.7,52.7,57.92,42,132,05-12
42,0,23.17,0.01,89.67,249,80.8,63.8,69.83,43,133,05-13
43,0,156.79,0,65.88,674,73.2,50,60.57,44,134,05-14
44,0,82.33,0.03,83.08,433,80.1,59.5,68.31,45,135,05-15
45,0,278.58,0.03,70.25,815,70.6,49.3,57.83,46,136,05-16
46,0,393.25,0,70.54,972,66.3,38.3,52.59,47,137,05-17
47,0,389.54,0,61.38,946,71.1,47.5,57.88,48,138,05-18
48,0,394.13,0,65.29,935,76.7,55.6,64.77,49,139,05-19
49,0,397.96,0,69.13,932,76.1,56.7,65.96,50,140,05-20
50,0,394.83,0,69.46,927,77.5,54.9,66.05,51,141,05-21
51,0,143.08,0,78.33,757,80,56.9,66.91,52,142,05-22
52,0,272.38,0,72,917,83.4,59,71.55,53,143,05-23
53,0,364.08,0,73.42,927,82.7,58.3,71.29,54,144,05-24
54,0,125.42,0,83.75,713,77,60.7,68.68,55,145,05-25
55,0,113.92,0.01,86.79,744,78,61.9,67.02,56,146,05-26
56,0,8.71,0.01,93.79,208,71.1,55,58.49,57,147,05-27
57,0,183.58,0,83.04,689,73.1,54.1,60.42,58,148,05-28
58,0,392.54,0,65.67,921,85.8,50.2,66.93,59,149,05-29
59,0,389.67,0,51.67,917,88.4,67.3,76.29,60,150,05-30
60,0,391.42,0,67.33,925,87,62.6,74.25,61,151,05-31
61,0,374.63,0,54.83,916,87.4,69.1,77.91,62,152,06-01
62,0,330.71,0.02,70.54,928,84,61.5,73.15,63,153,06-02
63,0,306.71,0,74.04,919,73.8,56.1,63.86,64,154,06-03
64,0,196.92,0,74.42,854,77.7,49.6,63.8,65,155,06-04
65,0,387.5,0,70.5,915,79.7,55.9,67.08,66,156,06-05
66,0,313.63,0,66.75,835,83.6,65.5,72.88,67,157,06-06
67,0,251.88,0,67.21,872,86.4,67.8,75.85,68,158,06-07
68,0,314.96,0,71.04,879,76,64.2,71.77,69,159,06-08
69,0,62.5,0.01,84.46,341,77.5,56.5,64.44,70,160,06-09
70,0,39.5,0.01,92.58,271,76.3,63,68.4,71,161,06-10
71,0,20.67,0.01,94.96,223,70.6,64.3,66.97,72,162,06-11
72,0,280.13,0,84.75,864,80.7,60.4,69.15,73,163,06-12
